no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"86","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*полімерна плівка",null,"ua_25_86","true",null,null,null
"87","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*Aclar",null,"ua_25_87","true",null,null,null
"88","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*фольга",null,"ua_25_88","true",null,null,null
"89","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*скло(гідролітичний клас І)",null,"ua_25_89","true",null,null,null
"90","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*поліетиленове покриття",null,"ua_25_90","true",null,null,null
"91","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*синтетична ізопрен-бромбутилова суміш",null,"ua_25_91","true",null,null,null
"92","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*металізоване покриття",null,"ua_25_92","true",null,null,null
"93","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*фторполімерне покриття",null,"ua_25_93","true",null,null,null
"94","null","null","1.0","Material","2025-03-28T13:23:03.187","2025-03-28T13:23:03.187",null,"1","1","*алюмінієва багатошарова фольга",null,"ua_25_94","true",null,null,null
"95","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*пакувальний картон",null,"ua_25_95","true",null,null,null
"96","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*паперово-алюмінієво-поліетиленової плівка",null,"ua_25_96","true",null,null,null
"97","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*двошарова плівки",null,"ua_25_97","true",null,null,null
"98","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*жорстка алюмінієва фольга",null,"ua_25_98","true",null,null,null
"99","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*метал",null,"ua_25_99","true",null,null,null
"100","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*алюмінієва фольга",null,"ua_25_100","true",null,null,null
"101","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*скломаса",null,"ua_25_101","true",null,null,null
"102","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*полімери",null,"ua_25_102","true",null,null,null
"103","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*плівка поліхлорвінілова",null,"ua_25_103","true",null,null,null
"104","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*папір ламінований",null,"ua_25_104","true",null,null,null
"105","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*плівка",null,"ua_25_105","true",null,null,null
"106","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*ламінована алюмінієва фольга",null,"ua_25_106","true",null,null,null
"107","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*ламінована фольга",null,"ua_25_107","true",null,null,null
"108","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*ламінований пластик",null,"ua_25_108","true",null,null,null
"109","null","null","1.0","Material","2025-03-28T13:23:03.188","2025-03-28T13:23:03.188",null,"1","1","*полівінілхлоридна плівка",null,"ua_25_109","true",null,null,null
