no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
167,1.0,Language,2023-10-05T16:19:18.651,2023-11-14T17:33:57.795,100000072290,1,1,Татарська,Tatar,ua_19_167,false,null,null,null
168,1.0,Language,2023-10-05T16:19:18.653,2023-11-14T17:33:57.754,100000072291,1,1,Таджицька,Tajik,ua_19_168,false,null,null,null
169,1.0,Language,2023-10-05T16:19:18.658,2023-11-14T17:33:57.756,100000072292,1,1,Тагалог,Tagalog,ua_19_169,false,null,null,null
170,1.0,Language,2023-10-05T16:19:18.662,2023-11-14T17:33:58.067,100000072293,1,1,Тибетська,Tibetan,ua_19_170,false,null,null,null
171,1.0,Language,2023-10-05T16:19:18.667,2023-11-14T17:33:58.069,100000072294,1,1,Тигринья,Tigrinya,ua_19_171,false,null,null,null
172,1.0,Language,2023-10-05T16:19:18.670,2023-11-14T17:33:58.080,100000072295,1,1,Тсвана,Tswana,ua_19_172,false,null,null,null
173,1.0,Language,2023-10-05T16:19:18.675,2023-11-14T17:33:58.071,100000072296,1,1,Тсонга,Tsonga,ua_19_173,false,null,null,null
174,1.0,Language,2023-10-05T16:19:18.677,2023-11-14T17:33:58.073,100000072297,1,1,Турецька,Turkish,ua_19_174,false,null,null,null
175,1.0,Language,2023-10-05T16:19:18.679,2023-11-14T17:33:57.971,100000072298,1,1,Тві,Twi,ua_19_175,false,null,null,null
176,1.0,Language,2023-10-05T16:19:18.682,2023-11-14T17:33:57.931,100000072299,1,1,Українська,Ukrainian,ua_19_176,false,null,null,null
177,1.0,Language,2023-10-05T16:19:18.684,2023-11-14T17:33:57.933,100000072300,1,1,Урду,Urdu,ua_19_177,false,null,null,null
178,1.0,Language,2023-10-05T16:19:18.686,2023-11-14T17:33:58.040,100000072301,1,1,Венда,Venda,ua_19_178,false,null,null,null
179,1.0,Language,2023-10-05T16:19:18.688,2023-11-14T17:33:58.002,100000072302,1,1,В’єтнамська,Vietnamese,ua_19_179,false,null,null,null
180,1.0,Language,2023-10-05T16:19:18.691,2023-11-14T17:33:57.920,100000072303,2,1,Волапюк,Volapük,ua_19_180,false,null,null,null
181,1.0,Language,2023-10-05T16:19:18.694,2023-11-14T17:33:57.923,100000072304,1,1,Валлійська,Welsh,ua_19_181,false,null,null,null
182,1.0,Language,2023-10-05T16:19:18.697,2023-11-14T17:33:57.709,100000072305,1,1,Волоф,Wolof,ua_19_182,false,null,null,null
